YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,CleanSHEDULED_DEPARTURE,DEPARTURE_TIME,CleanDEPAERTRUE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,CleanScheduled_Time,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,CleanSCHEDULED_ARRIVAL,ARRIVAL_TIME,CleanARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,AS,98,N407AS,ANC,SEA,5,00:05:00,2354,23:54:00,-11,21,15,205,02:05:00,194,169,1448,404,4,430,04:30:00,408,04:08:00,-22,0,0,,,,,,
2015,1,1,4,AA,2336,N3KUAA,LAX,PBI,10,00:10:00,2,00:02:00,-8,12,14,280,03:20:00,279,263,2330,737,4,750,07:50:00,741,07:41:00,-9,0,0,,,,,,
2015,1,1,4,US,840,N171US,SFO,CLT,20,00:20:00,18,00:18:00,-2,16,34,286,03:26:00,293,266,2296,800,11,806,08:06:00,811,08:11:00,5,0,0,,,,,,
2015,1,1,4,AA,258,N3HYAA,LAX,MIA,20,00:20:00,15,00:15:00,-5,15,30,285,03:25:00,281,258,2342,748,8,805,08:05:00,756,07:56:00,-9,0,0,,,,,,
2015,1,1,4,AS,135,N527AS,SEA,ANC,25,00:25:00,24,00:24:00,-1,11,35,235,02:35:00,215,199,1448,254,5,320,03:20:00,259,02:59:00,-21,0,0,,,,,,
2015,1,1,4,DL,806,N3730B,SFO,MSP,25,00:25:00,20,00:20:00,-5,18,38,217,02:17:00,230,206,1589,604,6,602,06:02:00,610,06:10:00,8,0,0,,,,,,
2015,1,1,4,NK,612,N635NK,LAS,MSP,25,00:25:00,19,00:19:00,-6,11,30,181,02:21:00,170,154,1299,504,5,526,05:26:00,509,05:09:00,-17,0,0,,,,,,
2015,1,1,4,US,2013,N584UW,LAX,CLT,30,00:30:00,44,00:44:00,14,13,57,273,03:13:00,249,228,2125,745,8,803,08:03:00,753,07:53:00,-10,0,0,,,,,,
2015,1,1,4,AA,1112,N3LAAA,SFO,DFW,30,00:30:00,19,00:19:00,-11,17,36,195,02:35:00,193,173,1464,529,3,545,05:45:00,532,05:32:00,-13,0,0,,,,,,
2015,1,1,4,DL,1173,N826DN,LAS,ATL,30,00:30:00,33,00:33:00,3,12,45,221,02:21:00,203,186,1747,651,5,711,07:11:00,656,06:56:00,-15,0,0,,,,,,
2015,1,1,4,DL,2336,N958DN,DEN,ATL,30,00:30:00,24,00:24:00,-6,12,36,173,02:13:00,149,133,1199,449,4,523,05:23:00,453,04:53:00,-30,0,0,,,,,,
2015,1,1,4,AA,1674,N853AA,LAS,MIA,35,00:35:00,27,00:27:00,-8,21,48,268,03:08:00,266,238,2174,746,7,803,08:03:00,753,07:53:00,-10,0,0,,,,,,
2015,1,1,4,DL,1434,N547US,LAX,MSP,35,00:35:00,35,00:35:00,0,18,53,214,02:14:00,210,188,1535,601,4,609,06:09:00,605,06:05:00,-4,0,0,,,,,,
2015,1,1,4,DL,2324,N3751B,SLC,ATL,40,00:40:00,34,00:34:00,-6,18,52,215,02:15:00,199,176,1590,548,5,615,06:15:00,553,05:53:00,-22,0,0,,,,,,
2015,1,1,4,DL,2440,N651DL,SEA,MSP,40,00:40:00,39,00:39:00,-1,28,107,189,02:29:00,198,166,1399,553,4,549,05:49:00,557,05:57:00,8,0,0,,,,,,
2015,1,1,4,AS,108,N309AS,ANC,SEA,45,00:45:00,41,00:41:00,-4,17,58,204,02:04:00,194,173,1448,451,4,509,05:09:00,455,04:55:00,-14,0,0,,,,,,
2015,1,1,4,DL,1560,N3743H,ANC,SEA,45,00:45:00,31,00:31:00,-14,25,56,210,02:10:00,200,171,1448,447,4,515,05:15:00,451,04:51:00,-24,0,0,,,,,,
2015,1,1,4,UA,1197,N78448,SFO,IAH,48,00:48:00,42,00:42:00,-6,11,53,218,02:18:00,217,199,1635,612,7,626,06:26:00,619,06:19:00,-7,0,0,,,,,,
2015,1,1,4,AS,122,N413AS,ANC,PDX,50,00:50:00,46,00:46:00,-4,11,57,215,02:15:00,201,187,1542,504,3,525,05:25:00,507,05:07:00,-18,0,0,,,,,,
2015,1,1,4,DL,1670,N806DN,PDX,MSP,50,00:50:00,45,00:45:00,-5,9,54,193,02:33:00,186,171,1426,545,6,603,06:03:00,551,05:51:00,-12,0,0,,,,,,
2015,1,1,4,NK,520,N525NK,LAS,MCI,55,00:55:00,120,01:20:00,25,11,131,162,02:02:00,143,128,1139,539,4,537,05:37:00,543,05:43:00,6,0,0,,,,,,
